fixed tweet,tweet length,number of words,number of lines,number of short words,upload hour,tweet source code,included media(?),number of user mentions,number of links,number of hashtags,emojis,pcfg rules,negativity score,neutrality score,positivity score,part of speech tagging,
"2/ Otherwise, it's a bit inexplicable why Trump needs *so badly* to be the ""savior of Alabama"" and get public credit from its voters for acts of courage that weren't needed *or* ultimately executed. But political considerations? ... that certainly *would* make some logical sense.",280,45,1,24,1,1,0,0,0,0,,"{""NP"": {""CD#NNS"": 1, ""DT#RB"": 1, ""NP#SBAR"": 1, ""DT#``#NN"": 1, ""JJ#NN"": 1, ""PRP$#NNS"": 1, ""NP#PP#SBAR"": 1, ""JJ"": 1, ""DT"": 1, ""DT#JJ#NN"": 1}, ""ADVP"": {""RB#RB"": 1}, ""ADJP"": {""NP#JJ"": 1, ""RB#RB#SBAR"": 1}, ""WHADVP"": {""WRB"": 1}, ""VP"": {""VBZ"": 3, ""VBZ#ADJP#SBAR"": 1, ""VBN"": 1, ""VBD#RB#VP"": 1, ""VB#NP#PP#PP"": 1, ""VP#CC#VP"": 1, ""ADVP#VBD"": 1, ""MD#ADVP#VP"": 1}, ""S"": {""ADVP#,#NP#VP"": 1, ""S#VP"": 1, ""CC#NP#VP#."": 1, "":#NP#ADVP#VP#."": 1}, ""SBAR"": {""WHADVP#S"": 1, ""S"": 1, ""WHNP#S"": 1, ""X#S"": 1}, ""X"": {""SYM"": 3, ""X#ADJP"": 1}, ""WHNP"": {""WDT"": 1}, ""FRAG"": {""NP#X"": 1, ""X#VP#."": 1, ""FRAG#CC#FRAG"": 1}, ""ROOT"": {""FRAG"": 1}}",0.0,0.854,0.146,"{""$"": 1, ""R"": 6, "","": 13, ""L"": 1, ""D"": 4, ""N"": 8, ""A"": 4, ""^"": 2, ""V"": 8, ""P"": 6, ""&"": 3, ""O"": 1}","['{""$"": 1, ""R"": 6, "","": 13, ""L"": 1, ""D"": 4, ""N"": 8, ""A"": 4, ""^"": 2, ""V"": 8, ""P"": 6, ""&"": 3, ""O"": 1}']"
"1/ Ifnot theorizing, just noting one of a range of possibilitiesTrump *knows* his tax returns will reveal grave misconduct, and the Democrats will get them eventually, and that a post-impeachment conviction is a real possibility, he'll want as many Senate allies as he can have.",278,45,1,26,1,1,0,0,0,0,,"{""NP"": {""CD#NNP#NNP#NN"": 1, ""CD"": 1, ""NP#X"": 1, ""PRP$#NN#NNS"": 1, ""JJ#NN"": 1, ""DT#NNPS"": 1, ""DT#JJ#NN"": 2, ""JJ#NNP#NNS"": 1}, ""X"": {""SYM"": 2}, ""VP"": {""VBG#NP"": 1, ""MD#VP"": 4, ""VB#NP#ADVP"": 1, ""VBZ#NP"": 1, ""VBZ#SBAR"": 1, ""VB"": 1, ""VB#PP#SBAR"": 1}, ""S"": {""S#,#CC#S"": 1, ""S#VP"": 1, ""NP#,#SBAR#,#NP#VP#."": 1}, ""SBAR"": {""X#S"": 1, ""IN#S"": 2, ""SBAR#,#CC#SBAR"": 1, ""RB#S"": 1}}",0.059,0.911,0.03,"{""$"": 2, ""^"": 2, ""V"": 11, "","": 7, ""R"": 2, ""P"": 4, ""D"": 5, ""N"": 10, ""A"": 3, ""&"": 2, ""O"": 3, ""L"": 1}","['{""$"": 2, ""^"": 2, ""V"": 11, "","": 7, ""R"": 2, ""P"": 4, ""D"": 5, ""N"": 10, ""A"": 3, ""&"": 2, ""O"": 3, ""L"": 1}']"
"Don't sleep for a moment on the real possibility that the ongoing ""Dorian in Alabama"" sideshow is about impeachment. Alabama Sen. Doug JonesDemocratis up for election in 2020. Trump wants the seatespecially as there may be an impeachment trial. So he needs Alabama to love him.",277,46,1,24,1,1,0,0,1,0,,"{""NP"": {""DT#JJ#NN"": 1, ""DT#JJ#``#NNP"": 1, ""NNP#NNP#NNP"": 1, ""CD"": 1, ""EX"": 1, ""DT#NN#NN"": 1}, ""VP"": {""VBZ#PP"": 1, ""VB#PP#SBAR"": 1, ""VB#RB#VP"": 1, ""VBZ#PRT#PP"": 1, ""MD#VP"": 1, ""VBZ#NP#SBAR"": 1, ""VBZ#S"": 1}, ""S"": {""VP#."": 1, ""IN#NP#VP#."": 1}, ""SBAR"": {""IN#S"": 2}, ""PRT"": {""RP"": 1}}",0.0,0.913,0.087,"{""V"": 8, ""P"": 10, ""D"": 5, ""N"": 8, ""A"": 2, "","": 6, ""^"": 8, ""T"": 1, ""$"": 1, ""R"": 1, ""O"": 2}","['{""V"": 8, ""P"": 10, ""D"": 5, ""N"": 8, ""A"": 2, "","": 6, ""^"": 8, ""T"": 1, ""$"": 1, ""R"": 1, ""O"": 2}']"
"Paul Manafort committed all his crimes... while a political operative... and now he's complaining that his criminal trials are... ""politically charged""... maybe he should have crimed in a different field?",204,30,1,13,1,1,0,0,1,0,,"{""NP"": {""PDT#PRP$#NNS"": 1, ""NP#VP"": 1, ""DT#JJ#NN"": 2, ""PRP$#JJ#NNS"": 1}, ""VP"": {""VBN#NP"": 1, ""VBZ#:#S"": 1, ""VBG#SBAR"": 1, ""VBZ#VP"": 1, ""VBN#PP"": 1, ""VB#VP"": 1, ""MD#VP"": 1}, ""PP"": {""IN#NP#:"": 1}, ""UCP"": {""PP#CC#ADVP"": 1}, ""ADJP"": {""RB#VBN"": 1}, ""S"": {""``#ADJP"": 1, ""SBAR#:#ADVP#NP#VP"": 1}, ""SBAR"": {""IN#S"": 1, ""UCP#S"": 1}, ""FRAG"": {""NP#:#S#."": 1}, ""ROOT"": {""FRAG"": 1}}",0.161,0.774,0.065,"{""^"": 2, ""V"": 6, ""D"": 5, ""N"": 5, "","": 7, ""P"": 3, ""A"": 3, ""&"": 1, ""R"": 3, ""L"": 1, ""O"": 1}","['{""^"": 2, ""V"": 6, ""D"": 5, ""N"": 5, "","": 7, ""P"": 3, ""A"": 3, ""&"": 1, ""R"": 3, ""L"": 1, ""O"": 1}']"
"Equality is the Best Therapy Hi, here's a link to purchase it on Barnes & Noble (which just named it a Top 10 History & Current Affairs book for September!):",157,30,1,18,22,1,0,1,1,0,,"{""NP"": {""DT#JJS"": 1, ""RB"": 1, ""NNP#CC#NNP"": 1, ""DT#ADJP#NNP#CC#NNP#NNPS#NN"": 1, ""DT#NN#S"": 1, ""NP#SBAR"": 1, ""NP#,#NP"": 1}, ""VP"": {""VBZ#NP"": 2, ""VBD#NP#NP"": 1, ""VB#NP#PP#PRN"": 1}, ""WHNP"": {""WDT"": 1}, ""ADJP"": {""NNP#CD"": 1}, ""S"": {""ADVP#VP"": 1}, ""SBAR"": {""WHNP#S"": 1, ""S"": 1}, ""FRAG"": {""SBAR#."": 1}, ""PRN"": {""-LRB-#FRAG#-RRB-"": 1}, ""SINV"": {""ADVP#VP#NP"": 1}, ""ROOT"": {""SINV"": 1, ""INTJ"": 1}, ""INTJ"": {""UH"": 1}}",0.0,0.712,0.288,"{""N"": 6, ""V"": 3, ""D"": 4, ""A"": 3, ""!"": 1, "","": 5, ""L"": 1, ""P"": 3, ""O"": 2, ""^"": 3, ""&"": 2, ""R"": 1, ""$"": 1}","['{""N"": 6, ""V"": 3, ""D"": 4, ""A"": 3, ""!"": 1, "","": 5, ""L"": 1, ""P"": 3, ""O"": 2, ""^"": 3, ""&"": 2, ""R"": 1, ""$"": 1}']"
"The sad thing is that, objectively speaking, he's made a career selling disasters: Trump Steaks, Trump Water, Trump casinos, Trump Air, Trump: The Board Game. The differencethat we see; I'm not sure he does, which is terrifyingis he's now selling disasters that can kill people.",278,45,1,21,22,1,0,0,1,0,,"{""NP"": {""DT#JJ#NN"": 1, ""NN#NN#NNS"": 1, ""NNP#NNS"": 1, ""NP#,#NP#,#NP#,#NP#,#NP"": 1, ""DT#NNP#NNP"": 1, ""DT#NP#:#NP#:#NP"": 1, ""NP#SBAR"": 2}, ""VP"": {""VBG"": 1, ""VBN#NP"": 1, ""VBZ#VP"": 1, ""VBZ#SBAR"": 1, ""VBP"": 1, ""MD#VP"": 1, ""VBG#NP"": 1, ""VBZ#ADVP#VP"": 1, ""VBZ#NP"": 1, ""VBZ#,#SBAR"": 1, ""VBP#RB#ADJP"": 1}, ""S"": {""X#NP#VP"": 1, ""S#:#S#."": 1}, ""ADVP"": {""RB#S"": 1}, ""PRN"": {"",#ADVP#,"": 1}, ""SBAR"": {""IN#PRN#S"": 1, ""WHNP#S"": 2, ""S"": 2}, ""ADJP"": {""JJ"": 1, ""JJ#SBAR"": 1}, ""X"": {""DT#ADJP"": 1}, ""WHNP"": {""WDT"": 2}}",0.303,0.697,0.0,"{""D"": 4, ""A"": 2, ""N"": 10, ""V"": 10, ""O"": 4, "","": 12, ""R"": 3, ""L"": 3, ""^"": 8, ""P"": 1}","['{""D"": 4, ""A"": 2, ""N"": 10, ""V"": 10, ""O"": 4, "","": 12, ""R"": 3, ""L"": 3, ""^"": 8, ""P"": 1}']"
Someone in Dallas has just had a series of sleepless nights,59,11,1,6,22,1,0,0,1,0,,"{""NP"": {""JJ#NNS"": 1}, ""VP"": {""VBN#NP"": 1, ""VBZ#ADVP#VP"": 1}}",0.0,1.0,0.0,"{""N"": 3, ""P"": 2, ""^"": 1, ""V"": 2, ""R"": 1, ""D"": 1, ""A"": 1}","['{""N"": 3, ""P"": 2, ""^"": 1, ""V"": 2, ""R"": 1, ""D"": 1, ""A"": 1}']"
Phillip! That's very kind of you to say. Many thanks.,53,10,1,7,22,1,0,0,1,0,,"{""INTJ"": {""UH#."": 1}, ""ROOT"": {""INTJ"": 1, ""FRAG"": 1}, ""NP"": {""DT"": 1, ""JJ#NNS"": 1}, ""ADJP"": {""RB#JJ#PP"": 1}, ""VP"": {""VB"": 1, ""VBZ#ADJP#S"": 1}, ""FRAG"": {""NP#."": 1}}",0.0,0.738,0.262,"{""^"": 1, "","": 3, ""L"": 1, ""R"": 1, ""A"": 2, ""P"": 2, ""O"": 1, ""V"": 1, ""N"": 1}","['{""^"": 1, "","": 3, ""L"": 1, ""R"": 1, ""A"": 2, ""P"": 2, ""O"": 1, ""V"": 1, ""N"": 1}']"
"I'm confused by those who say Trump's obsession with Dorian hitting Alabama was simply proof of his obsession with being right. I thought the issue was that some might see him as creepily obsessed with ""selling"" Dorian as the ""best hurricane""the deadliest and most destructive.",277,45,1,22,22,1,0,0,0,0,,"{""NP"": {""DT"": 2, ""NNP#POS"": 1, ""NP#NN"": 2, ""NNP#NNP#NNP"": 1, ""NP#SBAR"": 1, ""DT#``#JJS"": 1, ""DT#JJS"": 1, ""NP#``#NP"": 1}, ""WHNP"": {""WP"": 1}, ""PP"": {""IN#S"": 2, ""IN#UCP"": 1}, ""ADJP"": {""JJ"": 1, ""VBN#PP"": 1, ""RBS#JJ"": 1}, ""VP"": {""VBG#ADJP"": 1, ""VBD#ADVP#NP"": 1, ""VBP#SBAR"": 1, ""VBP#ADJP"": 1, ""``#VBG#NP"": 1, ""ADVP#VBN#PP"": 1, ""VB#NP#PP"": 1, ""MD#VP"": 1, ""VBD#SBAR"": 2}, ""SBAR"": {""S"": 2, ""WHNP#S"": 1, ""IN#S"": 1}, ""UCP"": {""VP#CC#ADJP"": 1}}",0.237,0.687,0.076,"{""L"": 1, ""A"": 4, ""P"": 8, ""O"": 4, ""V"": 10, ""Z"": 1, ""N"": 5, ""^"": 3, ""R"": 4, ""D"": 5, "","": 6, ""&"": 1}","['{""L"": 1, ""A"": 4, ""P"": 8, ""O"": 4, ""V"": 10, ""Z"": 1, ""N"": 5, ""^"": 3, ""R"": 4, ""D"": 5, "","": 6, ""&"": 1}']"
"Wonderful to hear this, thanks!",31,5,1,2,21,1,0,0,1,0,,"{""NP"": {""DT"": 1}, ""ADVP"": {""NNS"": 1}, ""VP"": {""VB#NP#,#ADVP"": 1}, ""ADJP"": {""JJ#S#."": 1}, ""ROOT"": {""ADJP"": 1}}",0.0,0.289,0.711,"{""A"": 1, ""P"": 1, ""V"": 1, ""O"": 1, "","": 2, ""N"": 1}","['{""A"": 1, ""P"": 1, ""V"": 1, ""O"": 1, "","": 2, ""N"": 1}']"
BREAKING NEWS: Mother Jones Uncovers New Information About a Mysterious $50 Million Trump Loan That May Be Evidence of Tax Fraud,128,21,1,9,21,1,0,0,1,0,,"{""NP"": {""NNP#NNP#NNP#NNP#NNP"": 1, ""NP#:#NP"": 1, ""DT#NNPS"": 1, ""ADJP#NNP#NNP#NNP"": 1, ""DT#MD#CD#NN"": 1}, ""ADJP"": {""$#CD"": 1}, ""PP"": {""NP#NP"": 1}, ""FRAG"": {""NP#PP"": 1}, ""ROOT"": {""FRAG"": 1}}",0.167,0.833,0.0,"{""V"": 2, ""N"": 6, "","": 1, ""^"": 4, ""Z"": 1, ""A"": 2, ""P"": 2, ""D"": 2, ""$"": 2}","['{""V"": 2, ""N"": 6, "","": 1, ""^"": 4, ""Z"": 1, ""A"": 2, ""P"": 2, ""D"": 2, ""$"": 2}']"
"BREAKING NEWS: A Desperate, Rattled Trump, Having Publicly Promised Mike Pence a Spot on the 2020 Ticket, Is Considering Reneging and Seeking a New VP",150,25,1,12,16,1,0,0,1,0,,"{""NP"": {""DT#JJ#,#NNP#NNP"": 1, ""RB#NNP#NNP#NNP#NNP#NNP"": 1, ""DT#CD#NN"": 1, ""NP#,#VP#,"": 1, ""DT#NNP#NNP"": 1}, ""PP"": {""VBG#S"": 1}, ""VP"": {""VBG#NP"": 1, ""VBG#CC#VBG#NP"": 1, ""VBZ#PP"": 1}, ""FRAG"": {""NP#:#S"": 1}, ""ROOT"": {""FRAG"": 1}}",0.093,0.806,0.101,"{""V"": 7, ""N"": 3, "","": 4, ""D"": 4, ""A"": 3, ""^"": 4, ""R"": 1, ""P"": 1, ""$"": 1, ""&"": 1}","['{""V"": 7, ""N"": 3, "","": 4, ""D"": 4, ""A"": 3, ""^"": 4, ""R"": 1, ""P"": 1, ""$"": 1, ""&"": 1}']"
(INTERVIEW) I did a SiriusXM interview about Proof of Conspiracy with Richard Schiff and Pete Dominick that you can hear below in full. Hope you'll pass it on!,159,28,1,16,16,1,0,2,1,0,,"{""NP"": {""-LRB-#NNP#-RRB-"": 1, ""DT#NNP#NN"": 1, ""NP#CC#NP"": 1}, ""PP"": {""IN#ADJP"": 1}, ""ADJP"": {""JJ"": 1}, ""VP"": {""VB#ADVP#PP"": 1, ""MD#VP"": 2, ""VBD#NP#PP#PP#SBAR"": 1, ""VB#NP#PRT"": 1}, ""S"": {""NP#NP#VP#."": 1, ""ADVP#NP#VP#."": 1}, ""SBAR"": {""IN#S"": 1}, ""PRT"": {""RP"": 1}}",0.121,0.785,0.095,"{"","": 4, ""N"": 3, ""O"": 3, ""V"": 5, ""D"": 1, ""^"": 6, ""P"": 7, ""&"": 1, ""A"": 1, ""L"": 1}","['{"","": 4, ""N"": 3, ""O"": 3, ""V"": 5, ""D"": 1, ""^"": 6, ""P"": 7, ""&"": 1, ""A"": 1, ""L"": 1}']"
"Mark Vang Alas, it is not! At all! Paragraphs and everything, and overwhelmingly things I never discussed on the feed",117,20,1,13,15,1,0,1,0,0,,"{""NP"": {""NP#CC#NP"": 1, ""NP#SBAR"": 1}, ""VP"": {""VBZ"": 1, ""VBZ#RB"": 1, ""VBD#PP"": 1, ""VBN#NP"": 1}, ""S"": {""S#,#NP#VP#."": 1, ""NP#ADVP#VP"": 1}, ""ROOT"": {""FRAG"": 1, ""UCP"": 1}, ""ADVP"": {""IN#DT"": 1}, ""FRAG"": {""ADVP#."": 1}, ""SBAR"": {""S"": 1}, ""UCP"": {""NP#,#CC#VP"": 1}}",0.198,0.802,0.0,"{""^"": 3, "","": 4, ""O"": 2, ""V"": 2, ""R"": 3, ""P"": 2, ""D"": 2, ""N"": 4, ""&"": 2}","['{""^"": 3, "","": 4, ""O"": 2, ""V"": 2, ""R"": 3, ""P"": 2, ""D"": 2, ""N"": 4, ""&"": 2}']"
